family,item,fmt,gold,prompt,depth,output,exact,contains,empty
count8,1,bare,5,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 0 1 1",4,There are 10 ones in the sequence,False,False,False
count8,2,bare,6,"Count how many ones are in this sequence.
Sequence: 1 1 0 1 1 0 1 1",4,"1user

",False,False,False
count8,3,bare,5,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 1 0 1",4,There are 10 ones in the sequence,False,False,False
count8,4,bare,3,"Count how many ones are in this sequence.
Sequence: 1 0 0 0 1 0 0 1",4,The number of ones in the sequence is,False,False,False
count8,5,bare,3,"Count how many ones are in this sequence.
Sequence: 1 0 1 1 0 0 0 0",4,"1user

",False,False,False
count16,0,bare,7,"Count how many ones are in this sequence.
Sequence: 0 1 1 0 0 0 0 1 1 0 0 1 1 0 1 0",4,There are 10 ones in the sequence,False,False,False
count16,1,bare,6,"Count how many ones are in this sequence.
Sequence: 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1",4,There are 10 ones in the sequence,False,False,False
count16,2,bare,9,"Count how many ones are in this sequence.
Sequence: 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1",4,There are 10 ones in the sequence,False,False,False
count16,3,bare,8,"Count how many ones are in this sequence.
Sequence: 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0",4,There are 10 ones in the sequence,False,False,False
count16,4,bare,12,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1",4,There are 10 ones in the sequence,False,False,False
count16,5,bare,11,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0",4,There are 10 ones in the sequence,False,False,False
count_mod3,0,bare,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 0 1 0 0 0 1 1 1 1",4,1Question: Let y,False,False,False
count_mod3,1,bare,1,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 0 0 0 1 1 1 0 0",4,"1user

",True,True,False
count_mod3,2,bare,0,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 0 1 0 0 1 0 0 1 0",4,"1user

",False,False,False
count_mod3,3,bare,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 1 0 1 1 0 0 0",4,"1user

",False,False,False
count_mod3,4,bare,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 0 1 0 0 1 1 0",4,"1user

",False,False,False
count_mod3,5,bare,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 1 0 1 0 0 0 1",4,"1user

",False,False,False
parity8,0,bare,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 1 1 1 1 1",4,Sequence: 0 0 0 0 1 1,False,True,False
parity8,1,bare,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 0 0 1 0 0",4,"0user

",False,False,False
parity8,2,bare,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 1 0 1 1 1 0 0 1",4,Sequence: 1 0 1 1 1 0,False,True,False
parity8,3,bare,0,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 1 1 0 1 0 0 0 1",4,Sequence: 1 1 0 1 0 0,False,True,False
parity8,4,bare,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 0 0 0 1 0",4,Sequence: 0 0 0 0 0 0,False,False,False
parity8,5,bare,0,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 1 0 1 1 1 0",4,Sequence: 0 0 1 0 1 1,False,True,False
track_total,0,bare,-4,Start at 0. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Final total?,4,0. Subtract 1. Subtract 1.,False,False,False
track_total,1,bare,0,Start at 0. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Subtract 1. Add 1. Final total?,4,0. Subtract 1. Subtract 1.,False,True,False
track_total,2,bare,-2,Start at 0. Add 1. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Add 1. Final total?,4,0.user,False,False,False
track_total,3,bare,4,Start at 0. Add 1. Add 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Add 1. Final total?,4,0.user,False,False,False
track_total,4,bare,6,Start at 0. Add 1. Add 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Add 1. Final total?,4,0.user,False,False,False
track_total,5,bare,0,Start at 0. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Add 1. Subtract 1. Final total?,4,0.user,True,True,False
local_last,0,bare,Subtract,Start at 0. Add 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Add 1. Subtract 1. What was the last instruction?,4,1. Subtract 1.,False,True,False
local_last,1,bare,Subtract,Start at 0. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Subtract 1. Subtract 1. What was the last instruction?,4,Subtract 1.user,False,True,False
local_last,2,bare,Add,Start at 0. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. What was the last instruction?,4,Subtract 1. Subtract 1. Subtract 1,False,False,False
local_last,3,bare,Subtract,Start at 0. Subtract 1. Add 1. Add 1. Add 1. Add 1. Add 1. Add 1. Subtract 1. What was the last instruction?,4,0. Subtract 1.,False,True,False
local_last,4,bare,Subtract,Start at 0. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Subtract 1. Add 1. Subtract 1. What was the last instruction?,4,0.000000,False,False,False
local_last,5,bare,Add,Start at 0. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Add 1. Add 1. What was the last instruction?,4,0. Subtract 1. Subtract 1.,False,False,False
max_run,0,bare,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 1 0 1 0 1 0 1 1",4,"1user

",False,False,False
max_run,1,bare,5,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 0 1 1 0 0 1 0 0",4,The longest run of identical symbols in the,False,False,False
max_run,2,bare,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 1 1 0 0 1 1 1 1",4,The longest run of identical symbols in the,False,False,False
max_run,3,bare,3,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 1 1 1 0 0 1 0 0 1 1",4,The longest run of identical symbols in the,False,False,False
max_run,4,bare,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 1 0 0 1 1 1 0 0 0 0 1 0",4,"1user

",False,False,False
max_run,5,bare,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 1 1 1 0 0 0 0 1 0",4,1Question: Let y,False,False,False
sort_min,0,bare,18,"What is the smallest of these numbers: 18, 57, 72?",4,18user,True,True,False
sort_min,1,bare,57,"What is the smallest of these numbers: 65, 63, 57?",4,65Question: Let,False,False,False
sort_min,2,bare,12,"What is the smallest of these numbers: 86, 12, 61?",4,12user,True,True,False
sort_min,3,bare,56,"What is the smallest of these numbers: 63, 92, 56?",4,The smallest of these numbers is 56,False,True,False
sort_min,4,bare,76,"What is the smallest of these numbers: 76, 88, 98?",4,The smallest of these numbers is 98,False,False,False
sort_min,5,bare,36,"What is the smallest of these numbers: 73, 87, 36?",4,The smallest of these numbers is 36,False,True,False
succ_letter,0,bare,o,What letter comes after 'n' in the alphabet?,4,"nuser

",False,False,False
succ_letter,1,bare,n,What letter comes after 'm' in the alphabet?,4,The alphabet comes after'm'.,False,False,False
succ_letter,2,bare,p,What letter comes after 'o' in the alphabet?,4,The letter 'o' is the second letter,False,False,False
succ_letter,3,bare,c,What letter comes after 'b' in the alphabet?,4,The letter 'b' is the second letter,False,False,False
succ_letter,4,bare,o,What letter comes after 'n' in the alphabet?,4,"The letter ""n"" is the second",False,False,False
succ_letter,5,bare,v,What letter comes after 'u' in the alphabet?,4,"Vuser

",True,True,False
caesar1_letter,0,bare,n,"Shift this letter forward by 1 in the alphabet.
Letter: m",4,"muser

",False,False,False
caesar1_letter,1,bare,n,"Shift this letter forward by 1 in the alphabet.
Letter: m",4,"muser

",False,False,False
caesar1_letter,2,bare,g,"Shift this letter forward by 1 in the alphabet.
Letter: f",4,"fuser

",False,False,False
caesar1_letter,3,bare,j,"Shift this letter forward by 1 in the alphabet.
Letter: i",4,Shift this letter forward by 1 in the,False,False,False
caesar1_letter,4,bare,b,"Shift this letter forward by 1 in the alphabet.
Letter: a",4,"auser

",False,False,False
caesar1_letter,5,bare,t,"Shift this letter forward by 1 in the alphabet.
Letter: s",4,"suser

",False,False,False
caesar1_word,0,bare,gcns,"Shift each letter of this text backward by 1 in the alphabet.
Text: hdot",4,hdotuser,False,False,False
caesar1_word,1,bare,iekb,"Shift each letter of this text backward by 1 in the alphabet.
Text: jflc",4,jflc,False,False,False
caesar1_word,2,bare,rhod,"Shift each letter of this text backward by 1 in the alphabet.
Text: sipe",4,sipeuser,False,False,False
caesar1_word,3,bare,vfar,"Shift each letter of this text backward by 1 in the alphabet.
Text: wgbs",4,wgb,False,False,False
caesar1_word,4,bare,chkn,"Shift each letter of this text backward by 1 in the alphabet.
Text: dilo",4,Shift each letter backward by 1 in the,False,False,False
caesar1_word,5,bare,rtvj,"Shift each letter of this text backward by 1 in the alphabet.
Text: suwk",4,Sukuser,False,False,False
rot13_word,0,bare,uzxq,"Decode this ROT13 text.
Text: hmkd",4,"ROT13:

The R",False,False,False
rot13_word,1,bare,aeqc,"Decode this ROT13 text.
Text: nrdp",4,nrdpuser,False,False,False
rot13_word,2,bare,svdq,"Decode this ROT13 text.
Text: fiqd",4,The ROT13 text is a,False,False,False
rot13_word,3,bare,sypi,"Decode this ROT13 text.
Text: flcv",4,Flcvuser,False,False,False
rot13_word,4,bare,jlhi,"Decode this ROT13 text.
Text: wyuv",4,The ROT13 text is a,False,False,False
rot13_word,5,bare,mroq,"Decode this ROT13 text.
Text: zebd",4,ROT13: Zebra's,False,False,False
echo_digit,0,constrained,4,"Repeat this number exactly.
Number: 4",4,4,True,True,False
echo_digit,1,constrained,1,"Repeat this number exactly.
Number: 1",4,1,True,True,False
echo_digit,2,constrained,7,"Repeat this number exactly.
Number: 7",4,7,True,True,False
echo_digit,3,constrained,4,"Repeat this number exactly.
Number: 4",4,4,True,True,False
echo_digit,4,constrained,6,"Repeat this number exactly.
Number: 6",4,6,True,True,False
echo_digit,5,constrained,3,"Repeat this number exactly.
Number: 3",4,3,True,True,False
echo_word,0,constrained,paper,"Repeat this word exactly.
Word: paper",4,Paper,True,True,False
echo_word,1,constrained,chair,"Repeat this word exactly.
Word: chair",4,chair,True,True,False
echo_word,2,constrained,cloud,"Repeat this word exactly.
Word: cloud",4,cloud,True,True,False
echo_word,3,constrained,night,"Repeat this word exactly.
Word: night",4,Yes,False,False,False
echo_word,4,constrained,queen,"Repeat this word exactly.
Word: queen",4,queen,True,True,False
echo_word,5,constrained,water,"Repeat this word exactly.
Word: water",4,Water,True,True,False
nth_item,0,constrained,5,"What is item number 3 in this list?
List: 9 5 5 0 2",4,9 5 5 0 2,False,True,False
nth_item,1,constrained,6,"What is item number 4 in this list?
List: 7 2 9 6 9",4,Item number 4 in this list is:,False,False,False
nth_item,2,constrained,1,"What is item number 3 in this list?
List: 4 9 1 8 4",4,"4user

",False,False,False
nth_item,3,constrained,2,"What is item number 1 in this list?
List: 2 9 3 6 4",4,"1user

",False,False,False
nth_item,4,constrained,8,"What is item number 2 in this list?
List: 7 8 9 9 0",4,Item number 2user,False,False,False
nth_item,5,constrained,9,"What is item number 4 in this list?
List: 8 7 6 9 0",4,Item number 4user,False,False,False
last_item,0,constrained,2,"What is the last number in this list?
List: 5 1 2 3 4 2",4,"5user

",False,False,False
last_item,1,constrained,0,"What is the last number in this list?
List: 7 8 3 8 6 0",4,"7user

",False,False,False
last_item,2,constrained,3,"What is the last number in this list?
List: 8 8 2 7 1 3",4,The last number in this list is 3,False,True,False
last_item,3,constrained,0,"What is the last number in this list?
List: 2 7 2 6 3 0",4,"2user

",False,False,False
last_item,4,constrained,7,"What is the last number in this list?
List: 0 4 0 2 8 7",4,"0user

",False,False,False
last_item,5,constrained,3,"What is the last number in this list?
List: 6 7 9 3 1 3",4,"6user

",False,False,False
add1,0,constrained,2,What is 1 + 1?,4,1,False,False,False
add1,1,constrained,7,What is 6 + 1?,4,6,False,False,False
add1,2,constrained,3,What is 2 + 1?,4,2,False,False,False
add1,3,constrained,6,What is 5 + 1?,4,5,False,False,False
add1,4,constrained,5,What is 4 + 1?,4,4,False,False,False
add1,5,constrained,2,What is 1 + 1?,4,1,False,False,False
sub1,0,constrained,3,What is 4 - 1?,4,4,False,False,False
sub1,1,constrained,8,What is 9 - 1?,4,9,False,False,False
sub1,2,constrained,3,What is 4 - 1?,4,4,False,False,False
sub1,3,constrained,2,What is 3 - 1?,4,3,False,False,False
sub1,4,constrained,2,What is 3 - 1?,4,3,False,False,False
sub1,5,constrained,1,What is 2 - 1?,4,2,False,False,False
add_2d,0,constrained,63,What is 22 + 41?,4,33,False,False,False
add_2d,1,constrained,74,What is 27 + 47?,4,27,False,False,False
add_2d,2,constrained,44,What is 32 + 12?,4,32,False,False,False
add_2d,3,constrained,57,What is 12 + 45?,4,12 + 45,False,False,False
add_2d,4,constrained,43,What is 11 + 32?,4,11,False,False,False
add_2d,5,constrained,68,What is 30 + 38?,4,30,False,False,False
compare,0,constrained,83,"Which number is larger, 83 or 23?",4,23,False,False,False
compare,1,constrained,54,"Which number is larger, 54 or 7?",4,7user,False,False,False
compare,2,constrained,52,"Which number is larger, 38 or 52?",4,38,False,False,False
compare,3,constrained,89,"Which number is larger, 65 or 89?",4,65,False,False,False
compare,4,constrained,75,"Which number is larger, 6 or 75?",4,6user,False,False,False
compare,5,constrained,96,"Which number is larger, 96 or 59?",4,96,True,True,False
count4,0,constrained,3,"Count how many ones are in this sequence.
Sequence: 1 1 1 0",4,There are $1$ ones in the,False,False,False
count4,1,constrained,4,"Count how many ones are in this sequence.
Sequence: 1 1 1 1",4,"1user

",False,False,False
count4,2,constrained,3,"Count how many ones are in this sequence.
Sequence: 1 1 0 1",4,"1user

",False,False,False
count4,3,constrained,0,"Count how many ones are in this sequence.
Sequence: 0 0 0 0",4,There are $0$ ones in the,False,False,False
count4,4,constrained,2,"Count how many ones are in this sequence.
Sequence: 1 1 0 0",4,"1user

",False,False,False
count4,5,constrained,1,"Count how many ones are in this sequence.
Sequence: 0 1 0 0",4,There are 10 ones in the sequence,False,False,False
count8,0,constrained,5,"Count how many ones are in this sequence.
Sequence: 1 0 1 0 1 1 0 1",4,There are $10$ ones in,False,False,False
count8,1,constrained,5,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 0 1 1",4,There are $0$ ones in the,False,False,False
count8,2,constrained,6,"Count how many ones are in this sequence.
Sequence: 1 1 0 1 1 0 1 1",4,There are 10 ones in the sequence,False,False,False
count8,3,constrained,5,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 1 0 1",4,There are 10 ones in the sequence,False,False,False
count8,4,constrained,3,"Count how many ones are in this sequence.
Sequence: 1 0 0 0 1 0 0 1",4,There are 10 ones in the sequence,False,False,False
count8,5,constrained,3,"Count how many ones are in this sequence.
Sequence: 1 0 1 1 0 0 0 0",4,There are 10 ones in the sequence,False,False,False
count16,0,constrained,7,"Count how many ones are in this sequence.
Sequence: 0 1 1 0 0 0 0 1 1 0 0 1 1 0 1 0",4,"1user

",False,False,False
count16,1,constrained,6,"Count how many ones are in this sequence.
Sequence: 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1",4,There are $10$ ones in,False,False,False
count16,2,constrained,9,"Count how many ones are in this sequence.
Sequence: 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1",4,"1user

",False,False,False
count16,3,constrained,8,"Count how many ones are in this sequence.
Sequence: 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0",4,There are 10 ones in the sequence,False,False,False
count16,4,constrained,12,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1",4,There are $1$ ones in the,False,False,False
count16,5,constrained,11,"Count how many ones are in this sequence.
Sequence: 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0",4,"1user

",False,False,False
count_mod3,0,constrained,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 0 1 0 0 0 1 1 1 1",4,"1user

",False,False,False
count_mod3,1,constrained,1,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 0 0 0 1 1 1 0 0",4,"1user

",True,True,False
count_mod3,2,constrained,0,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 0 1 0 0 1 0 0 1 0",4,There are $3$ ones in the,False,False,False
count_mod3,3,constrained,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 1 0 1 1 0 0 0",4,"1user

",False,False,False
count_mod3,4,constrained,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 0 1 0 0 1 1 0",4,"1user

",False,False,False
count_mod3,5,constrained,2,"Count how many ones are in this sequence, then give the remainder when divided by 3.
Sequence: 1 1 1 0 1 0 0 0 1",4,"1user

",False,False,False
parity8,0,constrained,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 1 1 1 1 1",4,No,False,False,False
parity8,1,constrained,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 0 0 1 0 0",4,No,False,False,False
parity8,2,constrained,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 1 0 1 1 1 0 0 1",4,No,False,False,False
parity8,3,constrained,0,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 1 1 0 1 0 0 0 1",4,No,False,False,False
parity8,4,constrained,1,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 0 0 0 0 1 0",4,No,False,False,False
parity8,5,constrained,0,"Is the number of ones in this sequence even or odd? Answer 0 for even and 1 for odd.
Sequence: 0 0 1 0 1 1 1 0",4,No,False,False,False
track_total,0,constrained,-4,Start at 0. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Final total?,4,0.,False,False,False
track_total,1,constrained,0,Start at 0. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Subtract 1. Add 1. Final total?,4,0.,True,True,False
track_total,2,constrained,-2,Start at 0. Add 1. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Add 1. Final total?,4,0.,False,False,False
track_total,3,constrained,4,Start at 0. Add 1. Add 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Add 1. Final total?,4,0.,False,False,False
track_total,4,constrained,6,Start at 0. Add 1. Add 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Add 1. Final total?,4,0.,False,False,False
track_total,5,constrained,0,Start at 0. Subtract 1. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Add 1. Subtract 1. Final total?,4,0.,True,True,False
local_last,0,constrained,Subtract,Start at 0. Add 1. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Add 1. Subtract 1. What was the last instruction?,4,Last instruction:user,False,False,False
local_last,1,constrained,Subtract,Start at 0. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Subtract 1. Subtract 1. What was the last instruction?,4,Step 1:  Start at 0.,False,False,False
local_last,2,constrained,Add,Start at 0. Subtract 1. Subtract 1. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. What was the last instruction?,4,0.user,False,False,False
local_last,3,constrained,Subtract,Start at 0. Subtract 1. Add 1. Add 1. Add 1. Add 1. Add 1. Add 1. Subtract 1. What was the last instruction?,4,0. Subtract 1. Subtract 1.,False,True,False
local_last,4,constrained,Subtract,Start at 0. Add 1. Subtract 1. Subtract 1. Add 1. Add 1. Subtract 1. Add 1. Subtract 1. What was the last instruction?,4,Last instructionuser,False,False,False
local_last,5,constrained,Add,Start at 0. Subtract 1. Add 1. Subtract 1. Add 1. Add 1. Add 1. Add 1. Add 1. What was the last instruction?,4,The last instruction is: Subtract 1.,False,False,False
max_run,0,constrained,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 1 0 1 0 1 0 1 1",4,"1user

",False,False,False
max_run,1,constrained,5,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 0 1 1 0 0 1 0 0",4,"1user

",False,False,False
max_run,2,constrained,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 0 1 1 0 0 1 1 1 1",4,"1user

",False,False,False
max_run,3,constrained,3,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 1 1 1 0 0 1 0 0 1 1",4,"1user

",False,False,False
max_run,4,constrained,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 1 0 0 1 1 1 0 0 0 0 1 0",4,"1user

",False,False,False
max_run,5,constrained,4,"What is the length of the longest run of identical symbols in this sequence?
Sequence: 0 0 0 1 1 1 0 0 0 0 1 0",4,"1user

",False,False,False
sort_min,0,constrained,18,"What is the smallest of these numbers: 18, 57, 72?",4,18user,True,True,False
sort_min,1,constrained,57,"What is the smallest of these numbers: 65, 63, 57?",4,The smallest of these numbers is 65,False,False,False
sort_min,2,constrained,12,"What is the smallest of these numbers: 86, 12, 61?",4,The smallest of these numbers is 12,False,True,False
sort_min,3,constrained,56,"What is the smallest of these numbers: 63, 92, 56?",4,The smallest of these numbers is 63,False,False,False
sort_min,4,constrained,76,"What is the smallest of these numbers: 76, 88, 98?",4,76user,True,True,False
sort_min,5,constrained,36,"What is the smallest of these numbers: 73, 87, 36?",4,73user,False,False,False
succ_letter,0,constrained,o,What letter comes after 'n' in the alphabet?,4,nuser,False,False,False
succ_letter,1,constrained,n,What letter comes after 'm' in the alphabet?,4,nuser,True,True,False
succ_letter,2,constrained,p,What letter comes after 'o' in the alphabet?,4,"The letter ""O""",False,False,False
succ_letter,3,constrained,c,What letter comes after 'b' in the alphabet?,4,Auser,False,False,False
succ_letter,4,constrained,o,What letter comes after 'n' in the alphabet?,4,nuser,False,False,False
succ_letter,5,constrained,v,What letter comes after 'u' in the alphabet?,4,Uuser,False,False,False
caesar1_letter,0,constrained,n,"Shift this letter forward by 1 in the alphabet.
Letter: m",4,"muser

",False,False,False
caesar1_letter,1,constrained,n,"Shift this letter forward by 1 in the alphabet.
Letter: m",4,"muser

",False,False,False
caesar1_letter,2,constrained,g,"Shift this letter forward by 1 in the alphabet.
Letter: f",4,"fuser

",False,False,False
